schedule,time_day,dose_uM,effective_exposure,A2780Naive,total_A2780cis,total
Front-loaded,14.0,0.3064335664335661,0.344125840525,1825.5348005762269,2252.671796525098,4078.2065971013253
Back-loaded,0.0,0.0,0.0,33.5,33.5,67.0
Back-loaded,0.1,0.3064335664335661,0.03966765256174196,36.49514227116904,33.53677819317271,70.03192046434174
Back-loaded,0.2,0.3064335664335661,0.07420034984404085,39.74522182285974,33.662009997665216,73.40723182052496
Back-loaded,0.3,0.3064335664335661,0.1042628089153042,43.26988264959324,33.87458640209001,77.14446905168325
Back-loaded,0.4,0.3064335664335661,0.1304336995938725,47.08998698786755,34.17404909144764,81.26403607931519
Back-loaded,0.5,0.3064335664335661,0.15321678321606808,51.227648375004975,34.5605554689998,85.78820384400478
Back-loaded,0.6,0.3064335664335661,0.1730506094969958,55.70625891128761,35.03485129296914,90.74111020425676
Back-loaded,0.7,0.3064335664335661,0.19031695813817512,60.55050951089351,35.5982499395577,96.14875945045121
Back-loaded,0.8,0.3064335664335661,0.20534818767382007,65.7864018220213,36.25261743658871,102.03901925861001
Back-loaded,0.9,0.3064335664335661,0.21843363301310756,71.44125039654287,37.0003625169159,108.44161291345877
Back-loaded,1.0,0.3064335664335661,0.22982517482420337,77.5436735979803,37.8444310213966,115.3881046193769
Back-loaded,1.1,0.4195104895104892,0.25437983196116465,84.12357165751314,38.78830404070147,122.91187569821462
Back-loaded,1.2,0.4195104895104892,0.2757559025632906,91.21209022557798,39.83599922592785,131.04808945150583
Back-loaded,1.3,0.4195104895104892,0.2943648528670278,98.8415677263365,40.99207472180099,139.83364244813748
Back-loaded,1.4,0.4195104895104892,0.310564885036293,107.04546480936189,42.2616351847195,149.3070999940814
Back-loaded,1.5,0.4195104895104892,0.32466783216665873,115.85827421294483,43.65033934228998,159.50861355523483
Back-loaded,1.6,0.4195104895104892,0.33694516073513037,125.31540941249442,45.16440853238608,170.4798179448805
Back-loaded,1.7,0.4195104895104892,0.34763319603618104,135.4530705315544,46.810635629161034,182.26370616071546
Back-loaded,1.8,0.4195104895104892,0.35693767118803593,146.30808614779838,48.596393721842055,194.90447986964043
Back-loaded,1.9,0.4195104895104892,0.3650376872726545,157.91772983738554,50.52964386063629,208.44737369802183
Back-loaded,2.0,0.4195104895104892,0.37208916083782373,170.31951057289527,52.61894112395552,222.9384516968508
Back-loaded,2.1,0.5325874125874123,0.39286556911856574,183.5509364262568,54.87343819396532,238.42437462022212
Back-loaded,2.2,0.5325874125874123,0.4109524830506319,197.64925143080168,57.302885555087094,254.95213698588879
Back-loaded,2.3,0.5325874125874123,0.4266980561624754,212.6511459259022,59.91762735487818,272.5687732807804
