time,observed,predicted,fixed_day0_anchor,model,pooling_mode,context,cell_line,density,dose,mix,component
0.0,67.0,67.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
1.0,79.832716,109.02229877074716,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
2.0,136.68186733333332,177.39819263467666,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
3.0,256.032137,288.63772126140873,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
4.0,551.4876543333334,469.4859982069783,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
5.0,932.248611,762.5911098589756,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
6.0,1630.1435956666667,1231.1603088823927,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
7.0,2349.2489583333336,1938.0106458891419,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
8.0,2344.200308666667,2595.568062684466,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
9.0,3261.814429,3154.08818612193,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
10.0,2744.403163333333,3465.8071074323475,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
11.0,3624.0109566666665,3597.6432066888656,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
12.0,2656.8393906666665,3653.338736671516,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
13.0,3902.5750386666664,3682.139351918133,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
14.0,2987.771682,3700.6806373367453,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,0.67,,total
0.0,67.0,67.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
1.0,82.57476866666666,109.02229877074716,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
2.0,153.74926733333334,177.39819263467666,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
3.0,298.6227236666667,288.63772126140873,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
4.0,584.2937496666667,469.4859982069783,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
5.0,1028.8575233333333,762.5911098589756,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
6.0,1728.4681713333332,1231.1603088823927,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
7.0,2346.5103780000004,1938.0055254117578,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
8.0,2305.3690973333332,1857.8800935159754,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
9.0,3049.6326773333335,2326.100789226773,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
10.0,3134.858873333333,2817.399966331525,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
11.0,3720.5385029999998,3145.303126554147,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
12.0,2824.6677086666664,3303.402696863269,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
13.0,3906.9917053333334,3366.192592875784,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
14.0,4011.9759260000005,3389.0284251148505,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.0,,total
0.0,67.0,67.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
1.0,66.07534733333334,109.02229877074716,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
2.0,136.019406,177.39819263467666,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
3.0,262.4119983333333,288.63772126140873,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
4.0,627.1851849999999,469.4859982069783,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
5.0,1055.7064813333334,762.5911098589756,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
6.0,1644.4327546666666,1231.1603088823927,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
7.0,1888.7926696666666,1938.0016386444931,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
8.0,1640.846373333333,1646.9854551173469,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
9.0,2390.4506556666665,1989.9288370693478,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
10.0,1885.2126543333334,2342.3165578501385,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
11.0,2693.7878856666666,2632.8953135998413,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
12.0,2554.914467666667,2831.4137342229933,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
13.0,3229.3090276666667,2947.1317144841582,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
14.0,3171.784760666667,3007.692462347232,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,20k,1.47,,total
0.0,100.0,100.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
1.0,119.12291633333332,162.71810010546204,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
2.0,208.10995366666666,264.7578071246314,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
3.0,381.1926696666667,430.6839977135739,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
4.0,731.6507716666666,699.8550360357816,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
5.0,1291.6760416666666,1131.928477783754,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
6.0,1980.2315586666666,1794.8204371619677,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
7.0,2670.8478393333335,2653.3549085692493,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
8.0,2545.009915,3140.431451243309,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
9.0,3548.7987266666664,3422.402832710087,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
10.0,2897.7104553333334,3555.248647656328,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
11.0,3797.833449333333,3619.6586074036613,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
12.0,2884.930285666667,3656.6813571414136,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
13.0,4146.366087666666,3681.5792765978267,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
14.0,3326.884761,3699.764208348403,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,0.67,,total
0.0,100.0,100.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
1.0,117.62118066666666,162.71810010546204,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
2.0,206.52970666666667,264.7578071246314,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
3.0,392.79753066666666,430.6839977135739,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
4.0,793.1631946666666,699.8550360357816,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
5.0,1328.3501159999998,1131.928477783754,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
6.0,1947.6582176666668,1794.8204371619677,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
7.0,2594.510609333334,2653.3471799794643,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
8.0,2352.0106483333334,2334.3876911828474,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
9.0,3220.0850306666666,2728.864285842097,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
10.0,2953.806751666667,3058.7181031021028,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
11.0,3595.1114196666663,3233.922158480339,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
12.0,2534.660455333333,3308.6687131228923,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
13.0,3853.449228666667,3337.4717029819817,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
14.0,4116.669907333334,3348.1218138947834,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.0,,total
0.0,100.0,100.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
1.0,73.88472200000001,162.71810010546204,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
2.0,143.64463766666665,264.7578071246314,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
3.0,301.875849,430.6839977135739,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
4.0,670.1066746666667,699.8550360357816,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
5.0,1170.9108796666667,1131.928477783754,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
6.0,1348.3380016666667,1794.8204371619677,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
7.0,1881.759761,2653.3413137953353,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
8.0,1606.1887733333333,2092.053707960154,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
9.0,2421.258526333333,2368.4499819196585,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
10.0,1957.2380400000002,2600.410080951016,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
11.0,2537.103395,2758.8155850342214,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
12.0,2244.322531,2854.389425860335,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
13.0,2827.4429400000004,2907.4220882524214,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
14.0,3433.938387333333,2935.4088679243914,false,load_plus_context_amplitude,linked_global,monoculture,A2780cis,30k,1.47,,total
0.0,16.75,16.75,true,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
1.0,99.62333333333333,32.998667842679836,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
2.0,151.64666666666665,64.44550438220016,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
3.0,256.715,123.19299100736183,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
4.0,308.39166666666665,191.11024706367607,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
5.0,458.41,253.08455325433766,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
6.0,443.1983333333333,313.3631664071983,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
7.0,684.745,375.1284962084732,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
8.0,381.4466666666667,441.76724152814825,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
9.0,434.4266666666667,513.9231015987675,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
10.0,381.8066666666667,587.477234610688,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
11.0,827.9266666666667,656.8389728474027,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
12.0,564.2466666666667,716.560461932002,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
13.0,1105.2716666666665,764.2784666700232,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
14.0,404.80333333333334,801.5971857090204,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,sensitive
0.0,50.25,50.25,true,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
1.0,88.58666666666666,75.48848583921077,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
