time,observed,predicted,fixed_day0_anchor,model,pooling_mode,density,mix,component
8.0,999.73,1308.4171974534077,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
9.0,1287.6316666666664,1339.8366337381221,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
10.0,1285.185,1322.044103055108,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
11.0,1589.9216666666669,1277.5265749432792,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
12.0,1183.66,1221.9152390049148,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
13.0,1283.0133333333333,1164.1322367091175,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
14.0,1010.3066666666667,1108.535173781202,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
0.0,33.5,33.5,true,dual_delayed_ramp_kill,shared,20k,50-50,resistant
1.0,51.281666666666666,37.966862163986484,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
2.0,89.81333333333333,53.20446794904648,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
3.0,141.95833333333334,86.71389526353754,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
4.0,269.67333333333335,153.44853182664676,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
5.0,503.14333333333326,274.8277211826383,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
6.0,640.2366666666667,469.7997258809442,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
7.0,1228.7583333333334,738.3039592873859,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
8.0,1159.7433333333333,1051.133154211602,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
9.0,2141.5383333333334,1362.1920271943375,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
10.0,2331.901666666666,1634.828148788876,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
11.0,3319.126666666667,1855.8461322841579,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
12.0,1939.1216666666667,2029.8404302775764,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
13.0,3037.8416666666667,2167.6703281876457,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
14.0,1923.26,2279.454346594007,false,dual_delayed_ramp_kill,shared,20k,50-50,resistant
0.0,50.25,50.25,true,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
1.0,216.94833333333335,74.64070641198977,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
2.0,395.03833333333336,164.55925621091407,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
3.0,575.9033333333333,347.4907762566854,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
4.0,750.965,614.9396986838303,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
5.0,1098.7666666666667,916.8198472856811,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
6.0,1222.9466666666665,1190.6683745247403,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
7.0,1636.885,1395.7252323909718,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
8.0,1417.09,1521.134888016114,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
9.0,1830.3733333333337,1575.6057393910003,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
10.0,2137.61,1575.6135698568594,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
11.0,2132.978333333333,1538.462779176154,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
12.0,1500.195,1479.150043944735,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
13.0,1762.6516666666669,1409.1562262246089,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
14.0,1454.5266666666666,1336.3148367546744,false,dual_delayed_ramp_kill,shared,20k,75-25,sensitive
0.0,16.75,16.75,true,dual_delayed_ramp_kill,shared,20k,75-25,resistant
1.0,26.93166666666667,18.97797156834204,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
2.0,42.105,26.53608551151309,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
3.0,64.44166666666668,42.92484342940767,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
4.0,128.0016666666667,74.8763487558997,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
5.0,186.15166666666664,132.00806088458089,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
6.0,262.3983333333333,224.61776688275089,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
7.0,430.875,360.1392741598183,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
8.0,525.69,539.7880208918056,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
9.0,900.48,756.5212591749493,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
10.0,1261.5033333333333,995.496283080296,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
11.0,1896.801666666667,1237.976727507634,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
12.0,1271.0700000000004,1467.2248760965326,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
13.0,2274.6516666666666,1672.7885727090852,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
14.0,1507.9783333333335,1851.0702937811914,false,dual_delayed_ramp_kill,shared,20k,75-25,resistant
0.0,25.0,25.0,true,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
1.0,92.28666666666668,33.80335134431859,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
2.0,166.93666666666667,67.2507764970566,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
3.0,254.01833333333335,138.766272781184,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
4.0,304.3333333333333,252.92252666545295,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
5.0,467.26833333333326,393.4099654486255,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
6.0,478.9883333333334,523.0339018587653,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
7.0,644.6283333333333,606.5367788768698,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
8.0,433.00666666666666,634.9720182498918,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
9.0,360.13166666666666,623.5073245261588,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
10.0,420.3900000000001,591.9319907610638,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
11.0,492.47499999999997,553.3543668085546,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
12.0,788.84,514.0892531970093,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
13.0,1077.7166666666667,476.61653388467244,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
14.0,921.545,441.7136384441901,false,dual_delayed_ramp_kill,shared,30k,25-75,sensitive
0.0,75.0,75.0,true,dual_delayed_ramp_kill,shared,30k,25-75,resistant
1.0,87.41333333333334,84.89754223100178,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
2.0,146.07000000000002,118.67782235866213,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
3.0,261.51,193.44441650076922,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
4.0,490.7949999999999,344.7845799577649,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
5.0,872.2133333333333,624.4240151787852,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
6.0,1398.1966666666667,1064.6816296685693,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
7.0,2656.3349999999996,1609.848388805,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
8.0,2187.6316666666667,2119.4345051039613,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
9.0,3209.313333333333,2492.2973482285115,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
10.0,3193.9033333333336,2729.5003656443164,false,dual_delayed_ramp_kill,shared,30k,25-75,resistant
