time,observed,pred_theta_logistic_hill_kill,pred_pkpd_inhibition,pred_lotka_volterra_hill_competition
4.0,749.75,NaN,NaN,NaN
4.0,656.51,NaN,NaN,NaN
4.0,1140.36,NaN,NaN,NaN
4.0,557.8,NaN,NaN,NaN
4.0,744.88,NaN,NaN,NaN
4.0,299.54,NaN,NaN,NaN
4.0,452.77,NaN,NaN,NaN
4.0,327.16,NaN,NaN,NaN
4.0,562.62,NaN,NaN,NaN
4.0,287.73,NaN,NaN,NaN
4.0,364.46,NaN,NaN,NaN
4.0,245.39,NaN,NaN,NaN
4.0,249.38,NaN,NaN,NaN
4.0,242.09,NaN,NaN,NaN
4.0,279.2,NaN,NaN,NaN
4.0,88.81,NaN,NaN,NaN
4.0,203.49,NaN,NaN,NaN
4.0,77.08,NaN,NaN,NaN
4.0,88.22,NaN,NaN,NaN
4.0,130.93,NaN,NaN,NaN
4.0,176.67,NaN,NaN,NaN
4.0,350.41,NaN,NaN,NaN
4.0,509.66,NaN,NaN,NaN
4.0,175.15,NaN,NaN,NaN
4.0,255.77,NaN,NaN,NaN
4.0,196.78,NaN,NaN,NaN
4.0,338.23,NaN,NaN,NaN
4.0,619.74,NaN,NaN,NaN
4.0,795.28,NaN,NaN,NaN
4.0,521.88,NaN,NaN,NaN
4.0,475.61,NaN,NaN,NaN
4.0,595.17,NaN,NaN,NaN
4.0,639.22,NaN,NaN,NaN
4.0,582.32,NaN,NaN,NaN
4.0,1209.65,NaN,NaN,NaN
4.0,563.18,NaN,NaN,NaN
4.0,620.11,NaN,NaN,NaN
4.0,660.96,NaN,NaN,NaN
4.0,898.44,NaN,NaN,NaN
4.0,308.39,NaN,NaN,NaN
4.0,304.33,NaN,NaN,NaN
4.0,255.08,NaN,NaN,NaN
4.0,480.87,NaN,NaN,NaN
4.0,146.53,NaN,NaN,NaN
4.0,332.5,NaN,NaN,NaN
4.0,267.49,NaN,NaN,NaN
4.0,367.88,NaN,NaN,NaN
4.0,350.41,NaN,NaN,NaN
4.0,509.66,NaN,NaN,NaN
4.0,175.15,NaN,NaN,NaN
4.0,255.77,NaN,NaN,NaN
4.0,196.78,NaN,NaN,NaN
4.0,338.23,NaN,NaN,NaN
4.0,494.31,NaN,NaN,NaN
4.0,490.8,NaN,NaN,NaN
4.0,471.08,NaN,NaN,NaN
4.0,653.1,NaN,NaN,NaN
4.0,225.69,NaN,NaN,NaN
4.0,566.29,NaN,NaN,NaN
4.0,466.64,NaN,NaN,NaN
4.0,583.05,NaN,NaN,NaN
4.0,557.8,NaN,NaN,NaN
4.0,744.88,NaN,NaN,NaN
4.0,299.54,NaN,NaN,NaN
4.0,452.77,NaN,NaN,NaN
4.0,327.16,NaN,NaN,NaN
4.0,562.62,NaN,NaN,NaN
4.0,562.62,NaN,NaN,NaN
4.0,607.82,NaN,NaN,NaN
4.0,595.34,NaN,NaN,NaN
4.0,458.45,NaN,NaN,NaN
4.0,563.84,NaN,NaN,NaN
4.0,485.69,NaN,NaN,NaN
4.0,590.18,NaN,NaN,NaN
4.0,682.19,NaN,NaN,NaN
4.0,619.74,NaN,NaN,NaN
4.0,795.28,NaN,NaN,NaN
4.0,521.88,NaN,NaN,NaN
4.0,475.61,NaN,NaN,NaN
4.0,595.17,NaN,NaN,NaN
4.0,639.22,NaN,NaN,NaN
4.0,269.67,NaN,NaN,NaN
4.0,278.04,NaN,NaN,NaN
4.0,193.85,NaN,NaN,NaN
4.0,245.25,NaN,NaN,NaN
4.0,350.56,NaN,NaN,NaN
4.0,266.88,NaN,NaN,NaN
4.0,226.95,NaN,NaN,NaN
4.0,334.55,NaN,NaN,NaN
