stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 2,A2780Naive,30k,7.0,1784.3173613333336,195.4617782809152,3,1.0,,
Stage 2,A2780Naive,30k,7.0,2895.899845666667,243.34060348291987,3,0.67,,
Stage 2,A2780cis,20k,7.0,1888.7926696666666,167.3406247397541,3,1.47,,
Stage 2,A2780cis,20k,7.0,2346.5103780000004,94.40691678539037,3,1.0,,
Stage 2,A2780cis,20k,7.0,2349.2489583333336,311.84000045389246,3,0.67,,
Stage 2,A2780cis,30k,7.0,1881.759761,85.34646277966324,3,1.47,,
Stage 2,A2780cis,30k,7.0,2594.510609333334,258.4402704450972,3,1.0,,
Stage 2,A2780cis,30k,7.0,2670.8478393333335,158.14108044993463,3,0.67,,
Stage 2,A2780Naive,20k,8.0,481.738503,94.17382835472984,3,1.47,,
Stage 2,A2780Naive,20k,8.0,1634.130247,57.37614061132212,3,1.0,,
Stage 2,A2780Naive,20k,8.0,2081.411111,165.68812627859924,3,0.67,,
Stage 2,A2780Naive,30k,8.0,684.2957563333333,51.15436029921878,3,1.47,,
Stage 2,A2780Naive,30k,8.0,1754.768094,169.48234401670337,3,1.0,,
Stage 2,A2780Naive,30k,8.0,2949.133024666667,221.2873018817964,3,0.67,,
Stage 2,A2780cis,20k,8.0,1640.846373333333,149.90075842664186,3,1.47,,
Stage 2,A2780cis,20k,8.0,2305.3690973333332,234.97364191763168,3,1.0,,
Stage 2,A2780cis,20k,8.0,2344.200308666667,162.6722891792178,3,0.67,,
Stage 2,A2780cis,30k,8.0,1606.1887733333333,40.15643180821654,3,1.47,,
Stage 2,A2780cis,30k,8.0,2352.0106483333334,59.27613200832965,3,1.0,,
Stage 2,A2780cis,30k,8.0,2545.009915,94.40396497354665,3,0.67,,
Stage 2,A2780Naive,20k,9.0,333.6756173333333,61.95795851652683,3,1.47,,
Stage 2,A2780Naive,20k,9.0,1556.192554,119.46897552261241,3,1.0,,
Stage 2,A2780Naive,20k,9.0,2395.0547066666663,170.45956212576124,3,0.67,,
Stage 2,A2780Naive,30k,9.0,451.471335,37.93003342682671,3,1.47,,
Stage 2,A2780Naive,30k,9.0,1630.9435183333335,86.72949728367429,3,1.0,,
Stage 2,A2780Naive,30k,9.0,3220.295872,289.56819644872564,3,0.67,,
Stage 2,A2780cis,20k,9.0,2390.4506556666665,88.95126338022567,3,1.47,,
Stage 2,A2780cis,20k,9.0,3049.6326773333335,180.94413719871463,3,1.0,,
Stage 2,A2780cis,20k,9.0,3261.814429,214.7357334208845,3,0.67,,
