source_file,Day,Well,mean_value,n_tiles,n_channels
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,14,A5,1943.39,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,14,B2,2243.79,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,14,B5,1720.71,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,14,C2,1857.1,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,14,C5,1577.59,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,1,A1,17.5,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,1,A4,39.47,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,1,B1,25.25,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,1,B4,30.24,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,1,C1,20.94,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,1,C4,28.19,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,2,A1,25.81,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,2,A4,63.15,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,2,B1,38.09,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,2,B4,35.38,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,2,C1,40.78,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,2,C4,49.42,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,3,A1,45.33,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,3,A4,125.57,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,3,B1,46.34,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,3,B4,54.45,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,3,C1,39.03,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,3,C4,75.93,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,4,A1,78.21,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,4,A4,186.29,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,4,B1,121.67,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,4,B4,161.99,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,4,C1,81.58,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,4,C4,138.27,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,5,A1,138.15,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,5,A4,331.89,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,5,B1,180.92,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,5,B4,138.18,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,5,C1,158.26,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,5,C4,169.51,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,6,A1,226.55,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,6,A4,379.09,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,6,B1,218.28,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,6,B4,291.96,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,6,C1,244.25,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,6,C4,214.26,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,7,A1,377.25,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,7,A4,551.14,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,7,B1,273.54,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,7,B4,533.88,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,7,C1,420.72,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,7,C4,428.72,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,8,A1,439.24,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,8,A4,678.44,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,8,B1,341.19,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,8,B4,469.91,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,8,C1,779.39,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,8,C4,445.97,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,9,A1,799.61,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,9,A4,1218.2,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,9,B1,547.93,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,9,B4,954.66,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,9,C1,1150.68,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,9,C4,731.8,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,10,A1,1341.27,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,10,A4,1668.26,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,10,B1,958.8,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,10,B4,1153.48,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,10,C1,1289.14,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,10,C4,1158.07,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,11,A1,2199.51,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,11,A4,2262.82,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,11,B1,1427.46,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,11,B4,1896.38,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,11,C1,1845.35,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,11,C4,1749.29,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,12,A1,1811.13,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,12,A4,1433.29,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,12,B1,994.77,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,12,B4,998.27,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,12,C1,1671.44,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,12,C4,717.52,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,13,A1,2614.74,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,13,A4,2413.08,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,13,B1,1909.95,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,13,B4,2399.25,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,13,C1,2866.66,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,13,C4,1444.23,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,14,A1,1855.4,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,14,A4,1732.94,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,14,B1,1065.56,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,14,B4,1235.55,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,14,C1,1963.31,3,1
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,14,C4,1195.11,3,1
