stage,model,pooling_mode,density,parameter,effective_value,lower_bound,upper_bound,bound_position
coculture_treated,sensitive_tolerant_transition,partial_5pct,30k,transition,0.04735953930359625,0.0,1.5,0.0315730262023975
coculture_treated,dual_constant_kill,independent_diagnostic,20k,kill_sensitive,0.22295598580418358,0.0,3.0,0.07431866193472786
coculture_treated,dual_constant_kill,independent_diagnostic,20k,kill_resistant,8.386692136425827e-9,0.0,3.0,2.7955640454752756e-9
coculture_treated,dual_constant_kill,independent_diagnostic,30k,kill_sensitive,0.147746648028447,0.0,3.0,0.049248882676149
coculture_treated,dual_constant_kill,independent_diagnostic,30k,kill_resistant,5.385886197712768e-12,0.0,3.0,1.7952953992375893e-12
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,20k,kill_sensitive,0.22501647546874734,0.0,4.0,0.056254118867186835
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,20k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,20k,lambda,4.999999997931118,0.01,5.0,0.9999999995853944
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,20k,onset,9.624392452337554e-11,0.0,7.0,1.3749132074767934e-11
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,30k,kill_sensitive,0.14932075795868124,0.0,4.0,0.03733018948967031
