time,count,source_file,condition,density,cell_line,dose,mix
1.0,154.67,measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,200.81,measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,186.85,measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,250.39,measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,26.93,measure_75-25A2780cisIC50tre1uM_5000Thres_day_averages.csv,coculture_treated,,,0.0,
1.0,28.45,measure_75-25A2780cisIC50tre1uM_5000Thres_day_averages.csv,coculture_treated,,,0.0,
1.0,17.5,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,39.47,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,25.25,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,30.24,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,20.94,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,28.19,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,22.75,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,40.76,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,21.93,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,21.05,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,30.99,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,33.22,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
2.0,143.34,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,89.81,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,42.1,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,151.65,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,285.21,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,395.04,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,146.07,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,85.84,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,45.68,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,166.94,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,282.02,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,356.53,combined_day_averages.csv,coculture_treated,,,0.0,
2.0,102.11,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,215.7,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,44.89,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,157.62,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,158.26,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,181.43,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,76.37,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,101.03,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,107.36,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,76.32,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,73.06,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,104.74,combined_well_day_averages.csv,coculture_treated,,,0.0,
2.0,25.81,combined_well_day_averages.csv,coculture_treated,,,0.0,
