time,count,source_file,component,density,mix,replicate
3.0,311.09,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
3.0,264.04,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
3.0,303.11,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
4.0,255.08,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
4.0,480.87,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
4.0,146.53,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
4.0,332.5,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
4.0,267.49,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
4.0,367.88,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
5.0,315.68,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
5.0,644.05,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
5.0,291.72,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
5.0,480.37,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
5.0,467.46,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
5.0,551.18,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
6.0,341.26,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
6.0,548.79,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
6.0,331.68,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
6.0,406.92,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
6.0,442.35,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
6.0,588.19,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
7.0,512.49,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
7.0,1034.76,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
7.0,340.64,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
7.0,698.29,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
7.0,559.95,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
7.0,962.34,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
8.0,293.17,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
8.0,604.26,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
8.0,260.64,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
8.0,469.48,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
8.0,305.52,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
8.0,355.61,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
9.0,277.87,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
9.0,716.9,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
9.0,312.21,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
9.0,520.7,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
9.0,330.55,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
9.0,448.33,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
10.0,242.47,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
10.0,654.57,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
10.0,346.38,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
10.0,339.0,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
10.0,420.44,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
10.0,287.98,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
11.0,512.15,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
11.0,2087.25,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
11.0,583.83,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
11.0,637.42,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
11.0,600.77,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
11.0,546.14,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
12.0,450.46,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
12.0,486.72,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
12.0,413.37,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
12.0,594.88,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
12.0,320.43,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
12.0,1119.62,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
