time,count,source_file,component,density,mix,replicate
8.0,1752.68,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
9.0,2250.12,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
9.0,1759.54,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
9.0,1803.53,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
10.0,2629.11,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
10.0,2467.08,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
10.0,2092.66,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
11.0,2591.01,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
11.0,2466.98,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
11.0,2524.19,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
12.0,3111.82,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
12.0,2602.34,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
12.0,2532.83,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
13.0,3310.14,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
13.0,2795.13,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
13.0,2723.82,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
14.0,2851.46,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
14.0,2896.13,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
14.0,3078.58,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
1.0,10.0,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
1.0,12.21,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
1.0,11.2,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
2.0,24.08,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
2.0,18.24,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
2.0,17.43,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
3.0,32.77,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
3.0,37.45,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
3.0,21.59,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
4.0,74.58,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
4.0,67.9,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
4.0,75.25,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
5.0,130.51,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
5.0,135.58,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
5.0,139.18,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
6.0,185.52,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
6.0,160.95,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
6.0,172.44,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
7.0,218.16,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
7.0,230.66,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
7.0,233.7,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
8.0,322.58,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
8.0,312.68,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
8.0,316.73,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
9.0,329.23,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
9.0,392.71,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
9.0,386.96,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
10.0,257.98,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
10.0,330.84,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
10.0,255.88,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
11.0,350.28,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
