time,observed,predicted,fixed_day0_anchor,model,route,density,mix,component
6.0,443.1983333333333,1180.0134035369856,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
7.0,684.745,1182.7979264383632,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
8.0,381.4466666666667,1148.8387054183195,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
9.0,434.4266666666667,1079.4484555784177,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
10.0,381.8066666666667,975.2739665223501,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
11.0,827.9266666666667,859.1860589663212,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
12.0,564.2466666666667,748.8563520785109,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
13.0,1105.2716666666665,652.3496105941599,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
14.0,404.80333333333334,571.0880909885021,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
0.0,50.25,50.25,true,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
1.0,88.58666666666666,56.98722379993468,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
2.0,143.335,80.0943400884963,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
3.0,247.62666666666667,131.28458265201405,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
4.0,494.3083333333334,234.1562844681552,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
5.0,903.3716666666666,427.9158045952696,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
6.0,1360.0966666666666,764.6492994833845,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
7.0,2438.3766666666666,1159.7218171120762,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
8.0,1945.3233333333335,1125.4781303286247,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
9.0,3250.286666666667,1509.0065514937098,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
10.0,3135.64,1941.7152734376673,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
11.0,3987.5866666666666,2302.579576401227,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
12.0,2308.2483333333334,2561.2846680302296,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
13.0,3826.773333333333,2735.0843693702996,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
14.0,2159.3716666666664,2851.8857421216308,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,resistant
0.0,33.5,33.5,true,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
1.0,154.28,72.47391793950831,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
2.0,285.20666666666665,230.048516762932,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
3.0,425.075,609.4407539685661,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
4.0,562.615,1043.5338304260558,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
5.0,850.4516666666667,1329.5605474493511,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
6.0,932.2550000000001,1433.4293505064068,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
7.0,1392.045,1404.5360466689235,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
8.0,999.73,1342.4403923036589,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
9.0,1287.6316666666664,1252.7746034490838,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
10.0,1285.185,1132.412125131741,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
11.0,1589.9216666666669,997.5886115869878,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
12.0,1183.66,865.9135696490007,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
13.0,1283.0133333333333,748.6144970119844,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
14.0,1010.3066666666667,649.3851119591208,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,sensitive
0.0,33.5,33.5,true,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
1.0,51.281666666666666,37.99265628969705,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
2.0,89.81333333333333,53.2939903116964,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
3.0,141.95833333333334,86.4489354738151,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
4.0,269.67333333333335,151.0231322771077,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
5.0,503.14333333333326,271.4552813087044,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
6.0,640.2366666666667,489.3284687664849,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
7.0,1228.7583333333334,779.6820078853136,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
8.0,1159.7433333333333,798.3273233429326,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
9.0,2141.5383333333334,1142.5155139892645,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
10.0,2331.901666666666,1586.250619254665,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
11.0,3319.126666666667,2014.824399184933,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
12.0,1939.1216666666667,2356.1684103080515,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
13.0,3037.8416666666667,2596.614466381653,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
14.0,1923.26,2757.957290644147,false,stage2_plus_asymmetric_competition,treatment_first,20k,50-50,resistant
0.0,50.25,50.25,true,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
1.0,216.94833333333335,106.46393574891131,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
2.0,395.03833333333336,319.4267280149589,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
3.0,575.9033333333333,783.0976333541942,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
4.0,750.965,1248.6163953847476,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
5.0,1098.7666666666667,1513.9215759328524,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
6.0,1222.9466666666665,1591.6910008194702,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
7.0,1636.885,1556.4217949097394,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
8.0,1417.09,1489.5705513620126,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
9.0,1830.3733333333337,1402.8663492967526,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
10.0,2137.61,1290.6393957284695,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
11.0,2132.978333333333,1156.7948041661316,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
12.0,1500.195,1013.5169521673814,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
13.0,1762.6516666666669,876.1566696463302,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
14.0,1454.5266666666666,755.087937503047,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,sensitive
0.0,16.75,16.75,true,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
1.0,26.93166666666667,18.997175619022908,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
2.0,42.105,26.6064131653215,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
3.0,64.44166666666668,42.836394226899124,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
4.0,128.0016666666667,73.93561844193201,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
5.0,186.15166666666664,132.32134500945116,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
6.0,262.3983333333333,243.05213530907537,false,stage2_plus_asymmetric_competition,treatment_first,20k,75-25,resistant
