stage,condition,fit_scope,model,bic,sse,params,inherited
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 3-1,Run 1,logistic,137.00695363670968,96835.96563446721,4.0;85.043,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 3-1,Run 1,logistic_plus_loss,139.71500383778238,96835.96563427668,4.0;85.043;7.3958e-12,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 3-1,Run 1,logistic_with_lag,139.71500530264598,96835.97509104265,4.0;85.044;7.4861e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 3-1,Run 1,transit_compartment_delayed_kill,145.13110441755103,96835.96678058367,4.0;85.042;2.8073e-13;0.0001;8.369e-6,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 20k,Run 1,logistic,196.54951246117255,5.128263555806798e6,1.0061;1914.4,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 20k,Run 1,logistic_plus_loss,199.25756266227467,5.1282635558067635e6,1.0323;1964.3;0.026196,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 20k,Run 1,logistic_with_lag,199.25756378635762,5.128263940113029e6,1.0061;1914.4;1.049e-5,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 20k,Run 1,logistic_with_delayed_death,201.7868082778167,5.067495990026883e6,0.9336;2172.7;0.12375;6.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 20k,Run 1,logistic_with_smooth_delayed_death,204.4990879431527,5.068925044358209e6,0.92964;2193.1;0.13003;5.9239;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 20k,Run 1,transit_compartment_delayed_kill,204.67366297631557,5.12826352566505e6,1.0538;2005.2;0.047682;0.34169;0.086751,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 20k,Run 1,logistic_with_smooth_delayed_death,88.91276485467455,7036.920681489414,2.9956;224.83;3.0;5.8321;0.61649,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 20k,Run 1,logistic_with_delayed_death,94.49152563553618,13778.962289125595,3.1026;200.45;3.0;6.5731,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 20k,Run 1,logistic,112.31132763545784,92044.99793489299,4.0;123.96,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 20k,Run 1,logistic_plus_loss,114.79623428524602,92044.99793489435,4.0;123.96;2.8073e-13,none; direct low-resource fit
