workbook,sheet,series,day,value
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,0.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,0.0,24.95
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,1.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,1.0,304.2665511
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,1.0,81.42691660143085
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,1.0,47.01185221911731
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,2.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,2.0,461.53645293333335
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,2.0,238.5470585368608
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,2.0,137.72520846065
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,3.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,3.0,869.8122856
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,3.0,353.77614558781113
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,3.0,204.252752887991
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,4.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,4.0,1207.0729445666668
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,4.0,368.5584323998874
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,4.0,212.7873101581815
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,5.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,5.0,3280.515116666667
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,5.0,203.74399169205677
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,5.0,117.63164844917786
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,6.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,6.0,1749.207549
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,6.0,311.8866905751161
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,6.0,180.06786476020483
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,7.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,7.0,2042.3465816666667
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,7.0,197.3535067658369
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,7.0,113.94210025677256
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,8.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,8.0,296.49023686
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,8.0,196.1055562051376
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,8.0,113.22159566461748
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,9.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,9.0,583.6512613333333
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,9.0,289.9969295195795
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,9.0,167.42980532229416
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,10.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,10.0,3520.6346666666664
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,10.0,770.2475439664437
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,10.0,444.7026268516744
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,11.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,11.0,3932.3089999999997
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,11.0,269.2146088513772
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,11.0,155.43112689012244
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,13.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,13.0,776.1088388214904
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,13.0,454.09597858533397
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,13.0,262.1724354741691
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,N Samples,14.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,Mean Cells,14.0,3171.0646331600233
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SD Cells,14.0,338.9131853193098
ALL A2780-cis LR data.xlsx,1 - A2780 30k 1-3,SEM Cells,14.0,195.67161877601703
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,0.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,0.0,74.85
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,1.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,1.0,461.44020797227034
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,1.0,76.66882005173535
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,1.0,44.264763895320385
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,2.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,2.0,601.6166570383208
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,2.0,150.98440585257276
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,2.0,87.1708873624186
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,3.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,3.0,760.5372616984401
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,3.0,216.23744224986888
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,3.0,124.84474549183795
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,4.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,4.0,394.38254573464275
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,4.0,87.5134023882136
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,4.0,50.525886426535166
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,5.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,5.0,199.12416714808396
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,5.0,59.80562547629629
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,5.0,34.528793967793604
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,6.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,6.0,86.62356248796455
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,6.0,15.594688136533698
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,6.0,9.003597393555994
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,7.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,7.0,79.60237242441748
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,7.0,19.158642458856594
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,7.0,11.061247380928648
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,8.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,8.0,109.12184093972654
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,8.0,60.86086116519921
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,8.0,35.138034576840205
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,9.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,9.0,48.202888503755055
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,9.0,17.86501939716108
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,9.0,10.314373758028836
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,10.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,10.0,38.00288850375505
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,10.0,4.198053404099894
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,10.0,2.4237472629294987
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,11.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,11.0,34.25225958020412
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,11.0,5.985367024583407
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,11.0,3.45565326284194
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,12.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,13.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,13.0,13.358395108800309
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,13.0,9.617378815306399
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,13.0,5.552596247915754
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,N Samples,14.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,Mean Cells,14.0,13.518851530906991
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SD Cells,14.0,9.21229973627748
ALL A2780-cis LR data.xlsx,1 - A2780cis 30k 1-3,SEM Cells,14.0,5.318723732595322
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,0.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,0.0,33.29
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,0.0,0.0
