timestamp_utc,condition,step,output_count,outputs
2026-04-27T02:12:25,monoculture_untreated,fit,2,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_model_ranking.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_best_models_top10.csv
2026-04-27T02:12:33,monoculture_untreated,fit,2,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_model_ranking.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_best_models_top10.csv
2026-04-27T02:12:41,monoculture_untreated,analysis,3,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_analysis_top3_by_bic.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_parameter_sensitivity.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\images\monoculture_untreated\monoculture_untreated_automatic_top_bic_bar.png
2026-04-27T02:12:43,monoculture_untreated,summary,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_automatic_summary.csv
2026-04-27T02:34:04,monoculture_untreated,decode,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_decoded.csv
2026-04-27T02:34:16,monoculture_untreated,fit,2,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_model_ranking.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_best_models_top10.csv
2026-04-27T02:34:16,monoculture_untreated,analysis,3,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_analysis_top3_by_bic.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_parameter_sensitivity.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\images\monoculture_untreated\monoculture_untreated_automatic_top_bic_bar.png
2026-04-27T02:34:16,monoculture_untreated,summary,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_automatic_summary.csv
2026-04-27T03:14:51,monoculture_untreated,decode,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_decoded.csv
2026-04-27T03:15:54,monoculture_untreated,fit,2,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_model_ranking.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\monoculture_untreated_automatic_best_models_top10.csv
2026-04-27T03:16:43,monoculture_untreated,analysis,3,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_analysis_top3_by_bic.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_parameter_sensitivity.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\images\monoculture_untreated\monoculture_untreated_automatic_top_bic_bar.png
2026-04-27T03:16:47,monoculture_untreated,summary,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\metrics\monoculture_untreated\monoculture_untreated_automatic_summary.csv
2026-04-27T03:56:06,monoculture_treated,fit,2,C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_model_ranking.csv;C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_best_models_top10.csv
2026-04-27T04:00:04,monoculture_treated,fit,2,C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_model_ranking.csv;C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_best_models_top10.csv
2026-04-27T04:14:03,monoculture_treated,decode,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_decoded.csv
2026-04-27T04:56:26,monoculture_treated,decode,1,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_decoded.csv
2026-04-27T05:34:18,monoculture_treated,fit,3,c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_model_ranking.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_best_models_top10.csv;c:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\staged_untreated_baseline.csv
2026-04-28T02:41:24,monoculture_treated,fit,3,C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_model_ranking.csv;C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\monoculture_treated_automatic_best_models_top10.csv;C:\Users\elbak\Desktop\CancerGrowthDynamics\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_treated\staged_untreated_baseline.csv
