parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
t_onset,5.600867783718511,0.0,7.0,0.8001239691026444,interior,A2780cis,joint_ic_effect_transit_death,shared
k_clear,2.2909599194710193,0.01,5.0,0.45710619628677746,interior,A2780cis,joint_ic_effect_transit_death,shared
emax_sensitive,0.8479898568793349,0.0,5.0,0.169597971375867,interior,A2780cis,joint_ic_effect_two_population,shared
emax_tolerant,0.2053389106029836,0.0,3.0,0.06844630353432786,interior,A2780cis,joint_ic_effect_two_population,shared
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,A2780cis,joint_ic_effect_two_population,shared
t_onset,6.481852075730467,0.0,7.0,0.9259788679614953,interior,A2780cis,joint_ic_effect_two_population,shared
f_tolerant0,0.434350058550341,0.0,0.95,0.45721058794772734,interior,A2780cis,joint_ic_effect_two_population,shared
k_kill,0.07279372403301179,0.0,4.0,0.018198431008252948,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,shared
lambda,8.687926560927221e-10,0.0,5.0,1.7375853121854441e-10,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,shared
emax,2.99999999999972,0.0,3.0,0.9999999999999066,poorly_identified_at_bound,A2780cis,joint_anchored_hill_kill,partial_5pct
ec50_uM,3.6167994749325905,0.001,10.0,0.36161610910416947,interior,A2780cis,joint_anchored_hill_kill,partial_5pct
hill_n,3.4104490104909693,0.1,6.0,0.561093052625588,interior,A2780cis,joint_anchored_hill_kill,partial_5pct
log_contrast_effect,0.0487899212771378,-0.04879016416943205,0.04879016416943205,0.9999975108477458,poorly_identified_at_bound,A2780cis,joint_anchored_hill_kill,partial_5pct
k_kill,0.07394833919475623,0.0,8.0,0.009243542399344528,poorly_identified_at_bound,A2780cis,joint_anchored_linear_kill,partial_5pct
log_contrast_effect,0.04879015442727393,-0.04879016416943205,0.04879016416943205,0.9999999001626835,poorly_identified_at_bound,A2780cis,joint_anchored_linear_kill,partial_5pct
emax,7.474681677842504,0.0,10.0,0.7474681677842504,interior,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
ec50_effect,0.9846475793777596,0.05,1.0,0.9838395572397469,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
hill_n,2.658946815231021,0.2,12.0,0.20838532332466278,interior,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
lambda,0.010000003628897441,0.01,5.0,7.272339561571296e-10,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
log_contrast_effect,0.04879016416942293,-0.04879016416943205,0.04879016416943205,0.9999999999999065,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp,partial_5pct
emax,0.3313687046232238,0.0,5.0,0.06627374092464476,interior,A2780cis,joint_ic_effect_hill_ramp_onset,partial_5pct
ec50_effect,0.5553563961160066,0.05,1.0,0.5319541011747438,interior,A2780cis,joint_ic_effect_hill_ramp_onset,partial_5pct
hill_n,5.051550396356756,0.2,12.0,0.41114833867430134,interior,A2780cis,joint_ic_effect_hill_ramp_onset,partial_5pct
lambda,4.893361323856429,0.01,5.0,0.9786295238189238,interior,A2780cis,joint_ic_effect_hill_ramp_onset,partial_5pct
t_onset,5.553737182232014,0.0,7.0,0.7933910260331449,interior,A2780cis,joint_ic_effect_hill_ramp_onset,partial_5pct
log_contrast_effect,0.003175599304594469,-0.04879016416943205,0.04879016416943205,0.5325434373777332,interior,A2780cis,joint_ic_effect_hill_ramp_onset,partial_5pct
emax,0.14285218453367246,0.0,4.0,0.035713046133418115,interior,A2780cis,joint_ic_effect_logistic_hill,partial_5pct
ec50_effect,0.5744070114639541,0.05,1.0,0.5520073804883727,interior,A2780cis,joint_ic_effect_logistic_hill,partial_5pct
hill_n,9.999999999999083,0.2,10.0,0.9999999999999065,poorly_identified_at_bound,A2780cis,joint_ic_effect_logistic_hill,partial_5pct
log_contrast_effect,0.04879011129109739,-0.04879016416943205,0.04879016416943205,0.9999994581045631,poorly_identified_at_bound,A2780cis,joint_ic_effect_logistic_hill,partial_5pct
