cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_pct,lower_bound,upper_bound,bound_position,parameter_scope
A2780Naive,joint_ic_effect_two_population,partial_5pct,20k,emax_sensitive,1.128639938280489,1.1838923331944433,4.895484648375348,0.0,5.0,0.23677846663888866,density_partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,20k,emax_tolerant,0.9732410242759949,1.0208858892111172,4.895484648375348,0.0,3.0,0.34029529640370576,density_partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,20k,lambda,0.9157109386404516,0.9157109386404516,0.0,0.01,5.0,0.181505198124339,partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,20k,t_onset,2.7918068307327286,2.7918068307327286,0.0,0.0,7.0,0.39882954724753267,partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,20k,f_tolerant0,8.889741820397333e-14,8.889741820397333e-14,0.0,0.0,0.95,9.357622968839299e-14,partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,30k,emax_sensitive,1.128639938280489,1.0759661791580937,-4.6670118020672895,0.0,5.0,0.21519323583161873,density_partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,30k,emax_tolerant,0.9732410242759949,0.9278197508104737,-4.667011802067278,0.0,3.0,0.3092732502701579,density_partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,30k,lambda,0.9157109386404516,0.9157109386404516,0.0,0.01,5.0,0.181505198124339,partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,30k,t_onset,2.7918068307327286,2.7918068307327286,0.0,0.0,7.0,0.39882954724753267,partial_5pct
A2780Naive,joint_ic_effect_two_population,partial_5pct,30k,f_tolerant0,8.889741820397333e-14,8.889741820397333e-14,0.0,0.0,0.95,9.357622968839299e-14,partial_5pct
A2780Naive,joint_time_decay_dose_scaled,partial_5pct,20k,k_kill,0.4473220849611575,0.4696881891943711,4.999999996681526,0.0,4.0,0.11742204729859278,density_partial_5pct
A2780Naive,joint_time_decay_dose_scaled,partial_5pct,20k,lambda,1.2516189603292333e-10,1.2516189603292333e-10,0.0,0.0,5.0,2.5032379206584668e-11,partial_5pct
A2780Naive,joint_time_decay_dose_scaled,partial_5pct,30k,k_kill,0.4473220849611575,0.4260210333098047,-4.761904758894808,0.0,4.0,0.10650525832745117,density_partial_5pct
A2780Naive,joint_time_decay_dose_scaled,partial_5pct,30k,lambda,1.2516189603292333e-10,1.2516189603292333e-10,0.0,0.0,5.0,2.5032379206584668e-11,partial_5pct
A2780Naive,joint_anchored_hill_kill,independent_diagnostic,20k,emax,1.4222820490062944,2.7763897207848336,95.20669073511921,0.0,3.0,0.9254632402616112,independent_diagnostic
A2780Naive,joint_anchored_hill_kill,independent_diagnostic,20k,ec50_uM,1.402714239764922,2.3988986701290536,71.0183444442027,0.001,10.0,0.23981384839774514,independent_diagnostic
A2780Naive,joint_anchored_hill_kill,independent_diagnostic,20k,hill_n,2.0069135022718956,2.0143573209965107,0.3709087968259972,0.1,6.0,0.32446734254178144,independent_diagnostic
A2780Naive,joint_anchored_hill_kill,independent_diagnostic,30k,emax,1.4222820490062944,0.7286031250518067,-48.772247701441515,0.0,3.0,0.24286770835060223,independent_diagnostic
A2780Naive,joint_anchored_hill_kill,independent_diagnostic,30k,ec50_uM,1.402714239764922,0.8202127346768805,-41.52674069849478,0.001,10.0,0.08192946641432948,independent_diagnostic
A2780Naive,joint_anchored_hill_kill,independent_diagnostic,30k,hill_n,2.0069135022718956,1.9994971912970863,-0.3695381473299064,0.1,6.0,0.32194867649103154,independent_diagnostic
A2780Naive,joint_anchored_linear_kill,independent_diagnostic,20k,k_kill,0.4461884640379234,0.4740847012467408,6.252119778346943,0.0,8.0,0.0592605876558426,independent_diagnostic
A2780Naive,joint_anchored_linear_kill,independent_diagnostic,30k,k_kill,0.4461884640379234,0.41993370576391265,-5.884230631247167,0.0,8.0,0.05249171322048908,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,20k,emax,1.9276296270017774,1.8777239715577632,-2.588964951822059,0.0,5.0,0.37554479431155263,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,20k,ec50_effect,0.5076846610673758,0.5066142959020404,-0.2108326777265468,0.05,1.0,0.48064662726530577,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,20k,hill_n,2.9964473017921516,2.491304066545124,-16.858071721965718,0.2,12.0,0.19417831072416303,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,20k,lambda,0.10597624803591875,0.12873471843842735,21.47506712522511,0.01,5.0,0.023794532753191853,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,30k,emax,1.9276296270017774,1.978861661872705,2.6577737835775883,0.0,5.0,0.395772332374541,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,30k,ec50_effect,0.5076846610673758,0.5087572876801207,0.2112781210465986,0.05,1.0,0.48290240808433765,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,30k,hill_n,2.9964473017921516,3.6040146817039833,20.276257805316654,0.2,12.0,0.2884758204833884,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic,30k,lambda,0.10597624803591875,0.08724115206840835,-17.678580167473445,0.01,5.0,0.0154791887912642,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,20k,emax,1.2212324439025637,1.3103221746884526,7.295067473084349,0.0,5.0,0.2620644349376905,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,20k,ec50_effect,0.5083339198225106,0.5039547489148595,-0.8614752502017153,0.05,1.0,0.47784710412090475,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,20k,hill_n,2.9900168176058544,2.477154914241539,-17.152475542762012,0.2,12.0,0.19297923002046938,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,20k,lambda,0.8170494102689949,0.9231833381944408,12.989903253281065,0.01,5.0,0.18300267298485787,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,20k,t_onset,2.681504341265507,2.6221141558001104,-2.2148084771463683,0.0,7.0,0.3745877365428729,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,30k,emax,1.2212324439025637,1.1381999868809607,-6.799070679474006,0.0,5.0,0.22763999737619214,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,30k,ec50_effect,0.5083339198225106,0.5127511440233984,0.8689611353163373,0.05,1.0,0.48710646739305097,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,30k,hill_n,2.9900168176058544,3.6090599413735784,20.703666953398603,0.2,12.0,0.28890338486216766,independent_diagnostic
