cell_line,model,pooling_mode,parameter,estimate,lower_bound,upper_bound,bound_position,identifiability
A2780cis,baranyi_theta_logistic_growth,partial_5pct,q0,0.3291894386401773,0.0001,10.0,0.032909272956747296,interior
A2780cis,baranyi_theta_logistic_growth,partial_5pct,log_contrast_r,-0.012345743129256459,-0.04879016416943205,0.04879016416943205,0.37348122988084453,interior
A2780cis,baranyi_theta_logistic_growth,partial_5pct,log_contrast_K,-0.001672273334429701,-0.04879016416943205,0.04879016416943205,0.4828625977909969,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,r_20k,0.7651016817909807,0.0001,2.0,0.38251996689383505,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,K_20k,3826.710033735048,3133.8628472499995,12535.451388999998,0.07369469355187105,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,theta_20k,1.4822291507464105,0.1,8.0,0.17496571528435573,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,q0_20k,0.28455828946031414,0.0001,10.0,0.028446113407165487,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,r_30k,0.6913188366702869,0.0001,2.0,0.345626699670127,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,K_30k,3805.7552311000395,3133.8628472499995,12535.451388999998,0.0714658358921305,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,theta_30k,1.7473102156306748,0.1,8.0,0.20852028045957907,interior
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,q0_30k,0.4021412665387344,0.0001,10.0,0.04020452869916043,interior
A2780cis,adaptation_theta_logistic_growth,shared,r,1.3033401811989338,0.0001,2.0,0.6516526732331286,interior
A2780cis,adaptation_theta_logistic_growth,shared,K,3819.019651355322,3133.8628472499995,12535.451388999998,0.0728767060016209,interior
A2780cis,adaptation_theta_logistic_growth,shared,theta,0.9738231812965199,0.1,8.0,0.11061052927804049,interior
A2780cis,adaptation_theta_logistic_growth,shared,adaptation_rate,0.21127164965197726,0.01,5.0,0.04033499993025596,interior
A2780cis,adaptation_theta_logistic_growth,partial_5pct,r,1.017911032406407,0.0001,2.0,0.508930962751341,interior
A2780cis,adaptation_theta_logistic_growth,partial_5pct,K,3818.380023962281,3133.8628472499995,12535.451388999998,0.07280867203159545,interior
A2780cis,adaptation_theta_logistic_growth,partial_5pct,theta,1.1655567238937645,0.1,8.0,0.134880597961236,interior
A2780cis,adaptation_theta_logistic_growth,partial_5pct,adaptation_rate,0.29173176979715765,0.01,5.0,0.056459272504440404,interior
A2780cis,adaptation_theta_logistic_growth,partial_5pct,log_contrast_r,-0.004420039351833861,-0.04879016416943205,0.04879016416943205,0.45470358188912285,interior
A2780cis,adaptation_theta_logistic_growth,partial_5pct,log_contrast_K,-0.0019538995696261052,-0.04879016416943205,0.04879016416943205,0.479976501382114,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,r_20k,0.7036668497687825,0.0001,2.0,0.351801014935138,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,K_20k,3819.835189850699,3133.8628472499995,12535.451388999998,0.07296345075669664,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,theta_20k,1.7288929309359036,0.1,8.0,0.20618897859948143,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,adaptation_rate_20k,0.5885355633165208,0.01,5.0,0.11593899064459334,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,r_30k,0.7525472794861291,0.0001,2.0,0.37624245186565786,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,K_30k,3807.7108355870128,3133.8628472499995,12535.451388999998,0.0716738437706171,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,theta_30k,1.5526666179958013,0.1,8.0,0.18388185037921534,interior
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,adaptation_rate_30k,0.4652535830629729,0.01,5.0,0.09123318297855167,interior
A2780cis,logistic_simple_death,shared,r,0.6161166083304274,0.0001,2.0,0.30802370535048124,interior
A2780cis,logistic_simple_death,shared,K,4045.584353890138,3133.8628472499995,12535.451388999998,0.09697526142432436,interior
A2780cis,logistic_simple_death,shared,death_rate,0.01370558400024064,0.0,2.0,0.00685279200012032,poorly_identified_at_bound
A2780cis,logistic_simple_death,partial_5pct,r,0.6012933033695642,0.0001,2.0,0.30061168226889556,interior
A2780cis,logistic_simple_death,partial_5pct,K,3958.448369601156,3133.8628472499995,12535.451388999998,0.08770704213329351,interior
A2780cis,logistic_simple_death,partial_5pct,death_rate,1.473911787877418e-9,0.0,2.0,7.36955893938709e-10,poorly_identified_at_bound
A2780cis,logistic_simple_death,partial_5pct,log_contrast_r,-0.016954537919573576,-0.04879016416943205,0.04879016416943205,0.3262504522356587,interior
A2780cis,logistic_simple_death,partial_5pct,log_contrast_K,-0.003372201385216163,-0.04879016416943205,0.04879016416943205,0.46544179095702953,interior
A2780cis,logistic_simple_death,independent_diagnostic,r_20k,0.6310723472123275,0.0001,2.0,0.31550194870359893,interior
A2780cis,logistic_simple_death,independent_diagnostic,K_20k,4098.498246748447,3133.8628472499995,12535.451388999998,0.1026034478338159,interior
A2780cis,logistic_simple_death,independent_diagnostic,death_rate_20k,0.01949805951295608,0.0,2.0,0.00974902975647804,poorly_identified_at_bound
A2780cis,logistic_simple_death,independent_diagnostic,r_30k,0.6022188980611036,0.0001,2.0,0.3010745027556896,interior
A2780cis,logistic_simple_death,independent_diagnostic,K_30k,4018.6228319016864,3133.8628472499995,12535.451388999998,0.09410749903834856,interior
