cell_line,model,pooling_mode,start_index,status,bic,scaled_sse,raw_sse,params,message
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,1,completed,-172.58616797585194,0.06117505184631311,1.0658811182504417e6,"[0.5875279623436586, 3811.81889690549, 2.294729258645011, 0.8732111291077419, 0.5577347818946398, 3796.3859041438545, 2.45571284594081, 0.9120819648850406]",
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,2,completed,-170.39521108205065,0.06551026577618561,1.1414224731097962e6,"[0.5272804672316517, 3807.5524578984637, 2.4750355167620284, 0.25219738165796146, 0.4941204657703623, 3791.185067543658, 2.9713802954332134, 0.3055908784426389]",
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,3,completed,-172.3380874094659,0.06165115563550479,1.0741316743440868e6,"[0.8260881324632098, 3837.0857573148655, 1.2102144261005763, 2.047994062389971, 0.606330584992106, 3800.1123155671303, 2.077179963977535, 1.2432555770130511]",
A2780cis,baranyi_theta_logistic_growth,shared,1,completed,-186.0367976958458,0.06196838068077589,1.0796954899913021e6,"[0.8408411318798217, 3821.190269018478, 1.26252796646263, 0.17429287047267214]",
A2780cis,baranyi_theta_logistic_growth,shared,2,completed,-186.0368001182726,0.06196837598971776,1.0796953671420554e6,"[0.8411473132948722, 3821.2481497777726, 1.2615825236195544, 0.17403329802187156]",
A2780cis,baranyi_theta_logistic_growth,shared,3,completed,-186.03679884589297,0.06196837845369587,1.079695428612661e6,"[0.8412655710555558, 3821.238767637621, 1.2611231463582446, 0.17396545205739733]",
A2780cis,baranyi_theta_logistic_growth,partial_5pct,1,completed,-179.09700935298784,0.06198448784708224,1.0799759621281442e6,"[0.842466739992701, 3821.272769364151, 1.2593271001888877, 0.17261084421959852, -0.0004965374600243919, 0.0007926057553644186]",
A2780cis,baranyi_theta_logistic_growth,partial_5pct,2,completed,-178.86627366611356,0.06243304159297102,1.087787272289045e6,"[0.8260091769627196, 3818.1064178099564, 1.2907299251154418, 0.19005620253535396, 0.0017520076732775239, 0.0005959838239119816]",
A2780cis,baranyi_theta_logistic_growth,partial_5pct,3,completed,-179.14226117165558,0.061896896331473356,1.0784499535926045e6,"[0.8309324629144165, 3820.5442072393535, 1.2854799832014063, 0.18410168189911075, -0.00047365669079548617, 3.666220365423217e-5]",
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,1,completed,-172.5966266108986,0.06115506112763463,1.0655212086875401e6,"[0.8146314857548944, 3835.8160404461564, 1.291648150065929, 0.21773629028798094, 0.7116636506272269, 3809.371425428141, 1.6401407338030367, 0.3544461430650121]",
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,2,completed,-166.4997326209151,0.07399078524086418,1.2893945435926248e6,"[1.292897699972685, 3836.6621420123597, 0.6957281314389699, 0.01799682251770812, 0.6604231636807334, 3732.467461055412, 1.4752635141319792, 0.7847689657012251]",
