cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,20k,r,1.4104448685993776,1.2707564407762453,-9.903855934606497,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,30k,r,1.4104448685993776,1.5654886046795187,10.992541398240196,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,20k,K,4066.616013247956,4074.091737982132,0.18383158650392417,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,30k,K,4066.616013247956,4059.154006040015,-0.18349426608343933,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,20k,theta,0.44789191498360664,0.562399347871217,25.565862891675884,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,30k,theta,0.44789191498360664,0.3566987911117192,-20.36052021060153,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,20k,adaptation_rate,3.3521210783041697,4.197407569051524,25.216466559584518,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,30k,adaptation_rate,3.3521210783041697,2.6770609093246183,-20.138299101089242,independent_diagnostic
A2780Naive,logistic_simple_death,shared,20k,r,0.8808923852115551,0.8808923852115551,0.0,shared_across_densities
A2780Naive,logistic_simple_death,shared,30k,r,0.8808923852115551,0.8808923852115551,0.0,shared_across_densities
A2780Naive,logistic_simple_death,shared,20k,K,3977.5598394951908,3977.5598394951908,0.0,shared_across_densities
A2780Naive,logistic_simple_death,shared,30k,K,3977.5598394951908,3977.5598394951908,0.0,shared_across_densities
A2780Naive,logistic_simple_death,shared,20k,death_rate,0.0014168593577407048,0.0014168593577407048,0.0,shared_across_densities
A2780Naive,logistic_simple_death,shared,30k,death_rate,0.0014168593577407048,0.0014168593577407048,0.0,shared_across_densities
A2780Naive,logistic_simple_death,partial_5pct,20k,r,0.8890340870211592,0.9334857913722087,4.99999999999905,partial_5pct
A2780Naive,logistic_simple_death,partial_5pct,30k,r,0.8890340870211592,0.8466991304963497,-4.761904761903901,partial_5pct
A2780Naive,logistic_simple_death,partial_5pct,20k,K,4049.770358537195,4096.800503665084,1.1613039990957974,partial_5pct
A2780Naive,logistic_simple_death,partial_5pct,30k,K,4049.770358537195,4003.2801065646536,-1.1479725479874858,partial_5pct
A2780Naive,logistic_simple_death,partial_5pct,20k,death_rate,0.014929366788743794,0.014929366788743794,0.0,partial_5pct
A2780Naive,logistic_simple_death,partial_5pct,30k,death_rate,0.014929366788743794,0.014929366788743794,0.0,partial_5pct
A2780Naive,logistic_simple_death,independent_diagnostic,20k,r,0.877994886467952,0.9362143127012067,6.6309527686958525,independent_diagnostic
A2780Naive,logistic_simple_death,independent_diagnostic,30k,r,0.877994886467952,0.8233958936599777,-6.218600318689582,independent_diagnostic
A2780Naive,logistic_simple_death,independent_diagnostic,20k,K,4006.610116314723,4038.058955999173,0.7849238825707427,independent_diagnostic
