time,observed,predicted,cell_line,density,dose,ic_label,timing_hypothesis
1.0,305.18962200000004,139.44414902714433,A2780Naive,20k,0.67,IC25,cis_gradual_only
2.0,465.63738433333333,400.20783669668197,A2780Naive,20k,0.67,IC25,cis_gradual_only
3.0,790.214892,963.426378474438,A2780Naive,20k,0.67,IC25,cis_gradual_only
4.0,880.948534,1702.6156714518697,A2780Naive,20k,0.67,IC25,cis_gradual_only
5.0,1277.0010803333332,2362.05363465088,A2780Naive,20k,0.67,IC25,cis_gradual_only
6.0,1612.01223,2826.890680229888,A2780Naive,20k,0.67,IC25,cis_gradual_only
7.0,2016.4244216666668,3111.635845431452,A2780Naive,20k,0.67,IC25,cis_gradual_only
8.0,2081.411111,3272.9498128545893,A2780Naive,20k,0.67,IC25,cis_gradual_only
9.0,2395.0547066666663,3360.6320973836537,A2780Naive,20k,0.67,IC25,cis_gradual_only
10.0,2537.1984183333334,3407.303076002694,A2780Naive,20k,0.67,IC25,cis_gradual_only
11.0,3073.8874999999994,3431.8979875295986,A2780Naive,20k,0.67,IC25,cis_gradual_only
12.0,3042.368325666667,3444.8050281310825,A2780Naive,20k,0.67,IC25,cis_gradual_only
13.0,3537.7463733333334,3451.570709500427,A2780Naive,20k,0.67,IC25,cis_gradual_only
14.0,3458.3808643333336,3455.1187473510117,A2780Naive,20k,0.67,IC25,cis_gradual_only
0.0,67.0,67.0,A2780Naive,20k,1.0,IC50,cis_gradual_only
1.0,164.83707566666666,139.44414902714433,A2780Naive,20k,1.0,IC50,cis_gradual_only
2.0,310.328588,400.20783669668197,A2780Naive,20k,1.0,IC50,cis_gradual_only
3.0,498.45925933333325,960.7769530781151,A2780Naive,20k,1.0,IC50,cis_gradual_only
4.0,690.7097223333334,1494.3382922511423,A2780Naive,20k,1.0,IC50,cis_gradual_only
5.0,804.9089893333334,1719.038144260904,A2780Naive,20k,1.0,IC50,cis_gradual_only
6.0,1188.2886573333333,1748.876384210296,A2780Naive,20k,1.0,IC50,cis_gradual_only
7.0,1563.5381556666664,1707.3629225453167,A2780Naive,20k,1.0,IC50,cis_gradual_only
8.0,1634.130247,1653.3815898512496,A2780Naive,20k,1.0,IC50,cis_gradual_only
9.0,1556.192554,1606.8200424967786,A2780Naive,20k,1.0,IC50,cis_gradual_only
10.0,1522.992284,1571.6948179821154,A2780Naive,20k,1.0,IC50,cis_gradual_only
11.0,1608.247685333333,1546.8101839422163,A2780Naive,20k,1.0,IC50,cis_gradual_only
12.0,1500.9281636666667,1529.7883097317347,A2780Naive,20k,1.0,IC50,cis_gradual_only
13.0,2011.2254243333334,1518.3980997260066,A2780Naive,20k,1.0,IC50,cis_gradual_only
14.0,2445.406712666667,1510.8895019811514,A2780Naive,20k,1.0,IC50,cis_gradual_only
0.0,67.0,67.0,A2780Naive,20k,1.47,IC75,cis_gradual_only
1.0,470.381366,139.44414902714433,A2780Naive,20k,1.47,IC75,cis_gradual_only
2.0,658.348264,400.20783669668197,A2780Naive,20k,1.47,IC75,cis_gradual_only
3.0,910.885918,956.4250159007535,A2780Naive,20k,1.47,IC75,cis_gradual_only
4.0,928.761304,1203.6050403181298,A2780Naive,20k,1.47,IC75,cis_gradual_only
5.0,914.7665896666667,1002.5204795017215,A2780Naive,20k,1.47,IC75,cis_gradual_only
6.0,867.7298226666667,750.0806603683405,A2780Naive,20k,1.47,IC75,cis_gradual_only
7.0,681.9129633333333,564.1133898656852,A2780Naive,20k,1.47,IC75,cis_gradual_only
8.0,481.738503,441.39384501516184,A2780Naive,20k,1.47,IC75,cis_gradual_only
9.0,333.6756173333333,361.3205265933183,A2780Naive,20k,1.47,IC75,cis_gradual_only
10.0,232.34174399999998,308.11351929246524,A2780Naive,20k,1.47,IC75,cis_gradual_only
11.0,155.3204476666667,271.84277392749976,A2780Naive,20k,1.47,IC75,cis_gradual_only
12.0,103.907562,246.48586351429472,A2780Naive,20k,1.47,IC75,cis_gradual_only
13.0,71.52523133333334,228.35883263330246,A2780Naive,20k,1.47,IC75,cis_gradual_only
14.0,36.60995366666666,215.15397571704327,A2780Naive,20k,1.47,IC75,cis_gradual_only
0.0,100.0,100.0,A2780Naive,30k,0.67,IC25,cis_gradual_only
1.0,507.5015816666667,184.6638288126471,A2780Naive,30k,0.67,IC25,cis_gradual_only
2.0,801.887693,451.8060626596289,A2780Naive,30k,0.67,IC25,cis_gradual_only
3.0,1336.278318,979.8952720020534,A2780Naive,30k,0.67,IC25,cis_gradual_only
4.0,1623.1049383333336,1648.4731493124375,A2780Naive,30k,0.67,IC25,cis_gradual_only
5.0,2076.8491126666668,2253.4436817510436,A2780Naive,30k,0.67,IC25,cis_gradual_only
6.0,2482.367592666667,2700.215011393837,A2780Naive,30k,0.67,IC25,cis_gradual_only
7.0,2895.899845666667,2991.477096827654,A2780Naive,30k,0.67,IC25,cis_gradual_only
8.0,2949.133024666667,3168.1452647940896,A2780Naive,30k,0.67,IC25,cis_gradual_only
9.0,3220.295872,3271.13572010301,A2780Naive,30k,0.67,IC25,cis_gradual_only
10.0,2758.7708333333335,3329.9435529763678,A2780Naive,30k,0.67,IC25,cis_gradual_only
11.0,3434.9652003333335,3363.1882286342025,A2780Naive,30k,0.67,IC25,cis_gradual_only
12.0,3115.501775,3381.904427804986,A2780Naive,30k,0.67,IC25,cis_gradual_only
13.0,3633.6489583333337,3392.431244510614,A2780Naive,30k,0.67,IC25,cis_gradual_only
14.0,3423.783179,3398.3560429182157,A2780Naive,30k,0.67,IC25,cis_gradual_only
0.0,100.0,100.0,A2780Naive,30k,1.0,IC50,cis_gradual_only
1.0,277.1990353333333,184.6638288126471,A2780Naive,30k,1.0,IC50,cis_gradual_only
2.0,512.5472606666666,451.8060626596289,A2780Naive,30k,1.0,IC50,cis_gradual_only
3.0,810.4685956666666,977.4403148764783,A2780Naive,30k,1.0,IC50,cis_gradual_only
4.0,1072.5972223333333,1461.499507664384,A2780Naive,30k,1.0,IC50,cis_gradual_only
5.0,1220.3375386666667,1673.6408189160277,A2780Naive,30k,1.0,IC50,cis_gradual_only
6.0,1524.2378856666667,1712.370118571901,A2780Naive,30k,1.0,IC50,cis_gradual_only
7.0,1784.3173613333336,1682.6947279494666,A2780Naive,30k,1.0,IC50,cis_gradual_only
8.0,1754.768094,1637.4074126920132,A2780Naive,30k,1.0,IC50,cis_gradual_only
9.0,1630.9435183333335,1596.0246599168674,A2780Naive,30k,1.0,IC50,cis_gradual_only
10.0,1765.6959490000002,1563.5588031358757,A2780Naive,30k,1.0,IC50,cis_gradual_only
