time,observed,pred_one_stage_transit_linear_kill,pred_hill_death_instantaneous,pred_transit_hill_combined,pred_theta_logistic_hill_kill,pred_transit_chain_erlang
4.0,697.335648,NaN,NaN,NaN,NaN,NaN
4.0,846.922801,NaN,NaN,NaN,NaN,NaN
5.0,914.76659,NaN,NaN,NaN,NaN,NaN
5.0,804.908989,NaN,NaN,NaN,NaN,NaN
5.0,1277.00108,NaN,NaN,NaN,NaN,NaN
5.0,1196.672107,NaN,NaN,NaN,NaN,NaN
5.0,1220.337539,NaN,NaN,NaN,NaN,NaN
5.0,2076.849113,NaN,NaN,NaN,NaN,NaN
5.0,598.397917,NaN,NaN,NaN,NaN,NaN
5.0,1035.585417,NaN,NaN,NaN,NaN,NaN
5.0,1110.316435,NaN,NaN,NaN,NaN,NaN
5.0,931.316782,NaN,NaN,NaN,NaN,NaN
5.0,763.818056,NaN,NaN,NaN,NaN,NaN
5.0,719.59213,NaN,NaN,NaN,NaN,NaN
5.0,1400.128356,NaN,NaN,NaN,NaN,NaN
5.0,1341.426505,NaN,NaN,NaN,NaN,NaN
5.0,1089.44838,NaN,NaN,NaN,NaN,NaN
5.0,1126.599769,NaN,NaN,NaN,NaN,NaN
5.0,1260.842824,NaN,NaN,NaN,NaN,NaN
5.0,1202.573727,NaN,NaN,NaN,NaN,NaN
5.0,1323.855208,NaN,NaN,NaN,NaN,NaN
5.0,1326.023264,NaN,NaN,NaN,NaN,NaN
5.0,1011.134144,NaN,NaN,NaN,NaN,NaN
5.0,1935.523958,NaN,NaN,NaN,NaN,NaN
5.0,2078.344792,NaN,NaN,NaN,NaN,NaN
5.0,2216.678588,NaN,NaN,NaN,NaN,NaN
5.0,1055.706481,NaN,NaN,NaN,NaN,NaN
5.0,1028.857523,NaN,NaN,NaN,NaN,NaN
5.0,932.248611,NaN,NaN,NaN,NaN,NaN
5.0,1170.91088,NaN,NaN,NaN,NaN,NaN
5.0,1328.350116,NaN,NaN,NaN,NaN,NaN
5.0,1291.676042,NaN,NaN,NaN,NaN,NaN
5.0,1094.441782,NaN,NaN,NaN,NaN,NaN
5.0,1084.315046,NaN,NaN,NaN,NaN,NaN
5.0,988.362616,NaN,NaN,NaN,NaN,NaN
5.0,1050.767477,NaN,NaN,NaN,NaN,NaN
5.0,1061.95463,NaN,NaN,NaN,NaN,NaN
5.0,973.850463,NaN,NaN,NaN,NaN,NaN
5.0,824.098727,NaN,NaN,NaN,NaN,NaN
5.0,918.609375,NaN,NaN,NaN,NaN,NaN
5.0,1054.037731,NaN,NaN,NaN,NaN,NaN
5.0,1414.180556,NaN,NaN,NaN,NaN,NaN
5.0,1057.495602,NaN,NaN,NaN,NaN,NaN
5.0,1041.056481,NaN,NaN,NaN,NaN,NaN
5.0,1240.018519,NaN,NaN,NaN,NaN,NaN
5.0,1163.588773,NaN,NaN,NaN,NaN,NaN
5.0,1581.443056,NaN,NaN,NaN,NaN,NaN
5.0,1072.407986,NaN,NaN,NaN,NaN,NaN
5.0,1338.002546,NaN,NaN,NaN,NaN,NaN
5.0,1464.617593,NaN,NaN,NaN,NaN,NaN
6.0,867.729823,NaN,NaN,NaN,NaN,NaN
6.0,1188.288657,NaN,NaN,NaN,NaN,NaN
6.0,1612.01223,NaN,NaN,NaN,NaN,NaN
6.0,1151.698109,NaN,NaN,NaN,NaN,NaN
6.0,1524.237886,NaN,NaN,NaN,NaN,NaN
6.0,2482.367593,NaN,NaN,NaN,NaN,NaN
6.0,651.939468,NaN,NaN,NaN,NaN,NaN
6.0,838.196412,NaN,NaN,NaN,NaN,NaN
6.0,1113.053588,NaN,NaN,NaN,NaN,NaN
6.0,1271.737847,NaN,NaN,NaN,NaN,NaN
6.0,1179.996759,NaN,NaN,NaN,NaN,NaN
6.0,1113.131366,NaN,NaN,NaN,NaN,NaN
6.0,1596.895255,NaN,NaN,NaN,NaN,NaN
6.0,1733.451157,NaN,NaN,NaN,NaN,NaN
6.0,1505.690278,NaN,NaN,NaN,NaN,NaN
6.0,1039.977083,NaN,NaN,NaN,NaN,NaN
6.0,1248.45081,NaN,NaN,NaN,NaN,NaN
6.0,1166.666435,NaN,NaN,NaN,NaN,NaN
6.0,1663.25162,NaN,NaN,NaN,NaN,NaN
6.0,1561.317477,NaN,NaN,NaN,NaN,NaN
6.0,1348.14456,NaN,NaN,NaN,NaN,NaN
6.0,2040.774421,NaN,NaN,NaN,NaN,NaN
6.0,2543.451042,NaN,NaN,NaN,NaN,NaN
6.0,2862.877315,NaN,NaN,NaN,NaN,NaN
6.0,1644.432755,NaN,NaN,NaN,NaN,NaN
6.0,1728.468171,NaN,NaN,NaN,NaN,NaN
6.0,1630.143596,NaN,NaN,NaN,NaN,NaN
6.0,1348.338002,NaN,NaN,NaN,NaN,NaN
6.0,1947.658218,NaN,NaN,NaN,NaN,NaN
6.0,1980.231559,NaN,NaN,NaN,NaN,NaN
6.0,1774.401157,NaN,NaN,NaN,NaN,NaN
6.0,1654.999306,NaN,NaN,NaN,NaN,NaN
6.0,1503.897801,NaN,NaN,NaN,NaN,NaN
6.0,1727.418981,NaN,NaN,NaN,NaN,NaN
6.0,1799.878241,NaN,NaN,NaN,NaN,NaN
6.0,1658.107292,NaN,NaN,NaN,NaN,NaN
6.0,1412.739931,NaN,NaN,NaN,NaN,NaN
6.0,1639.093981,NaN,NaN,NaN,NaN,NaN
6.0,1838.596875,NaN,NaN,NaN,NaN,NaN
6.0,1544.120255,NaN,NaN,NaN,NaN,NaN
6.0,1239.394676,NaN,NaN,NaN,NaN,NaN
6.0,1261.499074,NaN,NaN,NaN,NaN,NaN
6.0,1740.177431,NaN,NaN,NaN,NaN,NaN
6.0,1747.665856,NaN,NaN,NaN,NaN,NaN
6.0,2355.131366,NaN,NaN,NaN,NaN,NaN
6.0,1715.290162,NaN,NaN,NaN,NaN,NaN
6.0,2087.603588,NaN,NaN,NaN,NaN,NaN
6.0,2137.800926,NaN,NaN,NaN,NaN,NaN
7.0,681.912963,NaN,NaN,NaN,NaN,NaN
7.0,1563.538156,NaN,NaN,NaN,NaN,NaN
7.0,2016.424422,NaN,NaN,NaN,NaN,NaN
7.0,908.636651,NaN,NaN,NaN,NaN,NaN
7.0,1784.317361,NaN,NaN,NaN,NaN,NaN
