time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
8.0,2949.133024666667,3068.6822990312426,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,3220.295872,3144.4464021443177,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,2758.7708333333335,3182.447245562226,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,3434.9652003333335,3201.2731665894967,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,3115.501775,3210.561105275132,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,3633.6489583333337,3215.142015458058,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,3423.783179,3217.404418991504,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,100.0,100.0,true,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,277.1990353333333,226.14045963198987,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,512.5472606666666,491.2140727119489,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,810.4685956666666,976.8644227516204,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,1072.5972223333333,1409.7610156106912,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,1220.3375386666667,1614.910440460309,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1524.2378856666667,1681.3824918662813,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,1784.3173613333336,1689.5981266688768,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,1754.768094,1678.9312884433755,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,1630.9435183333335,1664.7362777103613,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,1765.6959490000002,1652.0525496782493,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,1797.057716,1642.033702662922,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,1664.883989,1634.5320223812987,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,1869.5183256666667,1629.0611698181922,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,2521.7536263333336,1625.125946531609,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,100.0,100.0,true,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,683.0949846666667,226.14045963198987,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,962.59946,491.2140727119489,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,1293.4153163333333,969.8821352708524,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,1242.3761956666667,1185.5808393215116,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,1196.6721066666667,1068.189480473236,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
