time,observed,prediction,best_model,cell_line,density,dose
14.0,3171.784760666667,3115.627482350068,one_stage_transit_linear_kill,A2780cis,20k,0.67
1.0,82.57476866666666,82.57476866666666,anchored_linear_kill,A2780cis,20k,1.0
2.0,153.74926733333334,160.39415589471065,anchored_linear_kill,A2780cis,20k,1.0
3.0,298.6227236666667,305.22303660276,anchored_linear_kill,A2780cis,20k,1.0
4.0,584.2937496666667,559.6687257301284,anchored_linear_kill,A2780cis,20k,1.0
5.0,1028.8575233333333,964.505445061565,anchored_linear_kill,A2780cis,20k,1.0
6.0,1728.4681713333332,1517.0077226287692,anchored_linear_kill,A2780cis,20k,1.0
7.0,2346.5103780000004,2131.889272604244,anchored_linear_kill,A2780cis,20k,1.0
8.0,2305.3690973333332,2678.523072709615,anchored_linear_kill,A2780cis,20k,1.0
9.0,3049.6326773333335,3075.583690279773,anchored_linear_kill,A2780cis,20k,1.0
10.0,3134.858873333333,3323.6539137710492,anchored_linear_kill,A2780cis,20k,1.0
11.0,3720.5385029999998,3464.3446852137804,anchored_linear_kill,A2780cis,20k,1.0
12.0,2824.6677086666664,3539.788662426101,anchored_linear_kill,A2780cis,20k,1.0
13.0,3906.9917053333334,3579.032050199459,anchored_linear_kill,A2780cis,20k,1.0
14.0,4011.9759260000005,3599.1221983708347,anchored_linear_kill,A2780cis,20k,1.0
1.0,79.832716,79.832716,anchored_linear_kill,A2780cis,20k,1.47
2.0,136.68186733333332,151.9729458870885,anchored_linear_kill,A2780cis,20k,1.47
3.0,256.032137,283.9038455674982,anchored_linear_kill,A2780cis,20k,1.47
4.0,551.4876543333334,512.8651233120665,anchored_linear_kill,A2780cis,20k,1.47
5.0,932.248611,876.293719075026,anchored_linear_kill,A2780cis,20k,1.47
6.0,1630.1435956666667,1378.7168837804575,anchored_linear_kill,A2780cis,20k,1.47
7.0,2349.2489583333336,1955.2059906293912,anchored_linear_kill,A2780cis,20k,1.47
8.0,2344.200308666667,2490.796531794206,anchored_linear_kill,A2780cis,20k,1.47
9.0,3261.814429,2899.2085046894804,anchored_linear_kill,A2780cis,20k,1.47
10.0,2744.403163333333,3166.1864016337236,anchored_linear_kill,A2780cis,20k,1.47
11.0,3624.0109566666665,3323.5775545266165,anchored_linear_kill,A2780cis,20k,1.47
12.0,2656.8393906666665,3410.7691859138763,anchored_linear_kill,A2780cis,20k,1.47
13.0,3902.5750386666664,3457.4135245875736,anchored_linear_kill,A2780cis,20k,1.47
14.0,2987.771682,3481.9008649094326,anchored_linear_kill,A2780cis,20k,1.47
1.0,73.88472200000001,73.88472200000001,one_stage_transit_linear_kill,A2780cis,30k,0.67
2.0,143.64463766666665,329.9828410348969,one_stage_transit_linear_kill,A2780cis,30k,0.67
3.0,301.875849,579.5370861459634,one_stage_transit_linear_kill,A2780cis,30k,0.67
4.0,670.1066746666667,823.5691105863403,one_stage_transit_linear_kill,A2780cis,30k,0.67
5.0,1170.9108796666667,1063.0517526775116,one_stage_transit_linear_kill,A2780cis,30k,0.67
6.0,1348.3380016666667,1298.913710248175,one_stage_transit_linear_kill,A2780cis,30k,0.67
7.0,1881.759761,1532.0439269187113,one_stage_transit_linear_kill,A2780cis,30k,0.67
8.0,1606.1887733333333,1763.295717190412,one_stage_transit_linear_kill,A2780cis,30k,0.67
