Image,Cells µm^2,Confluency %,Perimeter µm,Unnamed: 4
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A6.tif,3110.922916666667,70.664145,44212.7,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B3.tif,2781.0875,63.17198324,54092.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B6.tif,2812.317361111111,63.88136483,44507.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C3.tif,2800.9666666666667,63.62353552,44057.6,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C6.tif,3124.1854166666667,70.96540069,11626.5,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A3.tif,3502.99375,79.56997487,39691.3,82.6816726
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A6.tif,3932.733333333333,89.33144471,28012.1,83.60101406
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B3.tif,3421.0715277777776,77.70912394,41586.3,68.99914392
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B6.tif,2836.1541666666667,64.42281427,15817.9,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C3.tif,3075.4333333333334,69.85800447,47751.0,74.98645218
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C6.tif,3878.436111111112,88.09809149,25175.2,68.31425704
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-1_A3.tif,3493.203472222222,79.34759018,49828.2,84.36798988
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-1_A6.tif,2451.757638888889,55.6913051,16027.0,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-1_B3.tif,3683.6604166666666,83.67379096,35080.2,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-1_B6.tif,3570.4131944444443,81.10139738,49673.1,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-1_C3.tif,2787.894444444444,63.32660196,40041.3,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-1_C6.tif,2865.813888888889,65.09653039,67087.3,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-2_A3.tif,3979.7916666666665,90.40036765,46264.3,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-2_A6.tif,3941.3777777777777,89.52780196,5951.3,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-2_B3.tif,4300.209027777778,97.6785997,59194.0,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-2_B6.tif,2114.3569444444447,48.0272992,19761.7,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-2_C3.tif,1985.4048611111111,45.09817207,68054.8,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-2_C6.tif,4006.098611111111,90.99792593,14140.5,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-3_A3.tif,3671.479861111111,83.39711148,24836.6,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-3_A6.tif,2352.507638888889,53.43685632,26818.4,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-3_B3.tif,3109.8791666666666,70.64043638,48553.4,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-3_B6.tif,2980.522916666667,67.70212866,39889.0,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-3_C3.tif,3373.338888888889,76.62488425,28670.8,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-3_C6.tif,3741.3277777777776,84.98369637,34377.4,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-4_A3.tif,3810.619444444444,86.55764613,53918.5,
