Image,Area µm^2,Confluency %,Perimeter µm,Unnamed: 4
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B5.tif,4236.676388888889,96.23546539,17314.6,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C2.tif,3797.5819444444446,86.26150129,36771.8,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C5.tif,4182.653472222222,95.00834298,19780.2,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A2.tif,3988.84375,90.60598436,33933.5,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A5.tif,3627.852083333333,82.40611308,41920.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B2.tif,3797.1534722222223,86.2517686,37888.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B5.tif,3972.8263888888887,90.24215242,32876.4,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C2.tif,3936.4972222222223,89.41694088,31985.8,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C5.tif,3501.075,79.52639075,35075.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A2.tif,3908.647222222222,88.78433233,35349.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A5.tif,3872.275694444444,87.95815856,41269.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B2.tif,4246.357638888889,96.45537352,14797.8,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B5.tif,3822.2833333333338,86.82258961,39803.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C2.tif,3933.411805555556,89.3468561,34937.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C5.tif,4173.56875,94.80198489,22393.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A2.tif,4099.455555555555,93.11851485,25409.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A5.tif,4028.8909722222224,91.51565098,28181.4,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B2.tif,4091.604861111111,92.94018751,25509.5,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B5.tif,3825.994444444444,86.90688694,36650.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C2.tif,3665.8680555555557,83.26964016,46526.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C5.tif,3964.476388888889,90.05248343,32806.7,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A2.tif,4067.9506944444447,92.40288668,25197.9,88.89729401
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A5.tif,4041.3555555555554,91.79878211,25936.3,91.63443071
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B2.tif,4168.884722222222,94.6955879,21111.9,91.10968089
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B5.tif,3821.253472222222,86.79919647,38756.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C2.tif,4102.867361111112,93.1960135,22960.0,88.55576942
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C5.tif,4075.7069444444446,92.57906873,22607.1,90.23092119
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_A2.tif,3764.8305555555553,85.51755843,36951.1,84.5657747
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_A5.tif,3900.020138888889,88.58836943,33027.2,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_B2.tif,3841.597222222222,87.26130169,32748.4,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_B5.tif,3849.9187500000003,87.45032393,33596.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_C2.tif,3838.3708333333334,87.18801475,34538.1,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_C5.tif,4070.1124999999997,92.45199177,26947.9,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_A2.tif,3669.536805555556,83.35297526,37824.6,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_A5.tif,3703.5118055555554,84.12471227,37652.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_B2.tif,3841.4069444444444,87.25697955,34920.9,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_B5.tif,4238.763888888889,96.28288264,14732.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_C2.tif,4109.4319444444445,93.34512702,21524.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_C5.tif,3276.277777777778,74.42015574,47716.9,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_A2.tif,4030.2513888888884,91.54655264,26181.0,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_A5.tif,3428.546527777778,77.87891744,51717.6,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_B2.tif,4054.428472222222,92.09573144,27192.6,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_B5.tif,3335.5722222222225,75.76702011,57742.8,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_C2.tif,3788.965277777778,86.065775,37736.4,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_C5.tif,2446.3458333333333,55.56837676,56132.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_A2.tif,4016.1555555555556,91.22636791,31396.8,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_A5.tif,4099.831249999999,93.12704869,26632.0,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_B2.tif,4248.378472222223,96.50127645,15618.7,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_B5.tif,4325.531944444444,98.25380594,9579.2,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_C2.tif,4311.106250000001,97.92612846,10825.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_C5.tif,4273.690972222223,97.07624607,14484.8,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_A2.tif,3932.996527777778,89.33742313,36138.7,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_A5.tif,4218.2444444444445,95.81678655,18936.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_B2.tif,4050.0249999999996,91.99570723,28376.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_B5.tif,4262.951388888889,96.83229805,13806.2,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_C2.tif,3915.369444444444,88.93702659,33768.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_C5.tif,4195.440972222223,95.29880912,20044.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_A2.tif,3994.9375,90.74440298,29146.0,83.7413729
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_A5.tif,4132.7555555555555,93.87491933,24469.5,92.7382199
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_B2.tif,4331.656944444444,98.39293439,10099.9,84.73767142
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_B5.tif,4085.022916666667,92.79067963,26347.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_C2.tif,4234.188194444444,96.17894643,19293.6,92.66813512
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_C5.tif,4277.001388888889,97.15144168,12946.8,97.0093135
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_A2.tif,4098.809027777777,93.10382907,26125.6,92.29352151
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_A5.tif,4136.101388888888,93.95091943,23301.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_B2.tif,4268.845138888889,96.96617369,13013.7,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_B5.tif,4253.515972222222,96.61797398,16452.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_C2.tif,4291.338888888889,97.47711583,11814.3,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_C5.tif,4050.0812499999997,91.99698494,21302.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_A2.tif,1991.9444444444443,45.24671772,69864.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_A5.tif,4048.7458333333334,91.96665115,31234.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_B2.tif,3625.897916666667,82.36172448,44797.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_B5.tif,4356.266666666666,98.95194052,5975.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_C2.tif,3152.547916666667,71.6096506,40762.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_C5.tif,4317.761805555555,98.0773084,10903.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_A2.tif,4176.208333333333,94.86194262,21698.0,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_A5.tif,4250.940277777778,96.55946747,15800.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_B2.tif,4322.450000000001,98.18380003,9868.0,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_B5.tif,4308.418055555555,97.86506653,11824.3,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_C2.tif,3557.7159722222223,80.81298189,40182.1,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_C5.tif,3393.629861111111,77.08579062,45150.3,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_A2.tif,3826.349305555556,86.91494756,39611.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_A5.tif,4154.747222222222,94.37445672,21067.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_B2.tif,4081.136111111111,92.70239143,27021.9,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_B5.tif,4331.643055555555,98.3926189,9926.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_C2.tif,3617.126388888889,82.16248055,41038.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_C5.tif,4125.140277777778,93.70193944,24719.9,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_A2.tif,4031.5652777777777,91.57639742,28757.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_A5.tif,3754.477777777778,85.28239664,37615.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_B2.tif,3866.2944444444447,87.82229536,34209.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_B5.tif,4289.5993055555555,97.43760146,12037.7,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_C2.tif,3530.0631944444444,80.18485322,45799.0,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_C5.tif,4215.201388888889,95.747664,16850.8,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_A2.tif,140.81597222222223,3.198613577,7374.0,4.190681988
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_A5.tif,119.28472222222223,2.70953448,6446.4,4.719822298
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_B2.tif,147.4402777777778,3.349083679,7204.7,3.689911579
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_B5.tif,195.72083333333333,4.445769219,10131.2,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_C2.tif,136.00486111111113,3.089329914,7135.0,3.00597115
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_C5.tif,66.96597222222222,1.521121962,4033.4,3.282582278
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_A2.tif,129.03958333333333,2.931114679,6849.0,2.451274006
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_A5.tif,79.9048611111111,1.815026872,4217.0,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_B2.tif,151.90625,3.450527565,8072.6,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_B5.tif,212.13888888888889,4.818702876,11036.1,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_C2.tif,118.11805555555556,2.683033823,5555.8,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_C5.tif,139.85972222222222,3.176892503,7859.1,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_A2.tif,264.5423611111111,6.009039846,12609.6,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_A5.tif,121.5652777777778,2.761336956,7109.4,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_B2.tif,286.1333333333333,6.499475525,15580.3,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_B5.tif,170.93541666666667,3.882772217,9400.0,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_C2.tif,244.29722222222225,5.549174569,12258.2,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_C5.tif,59.49791666666667,1.351486206,3384.7,
