source_group,source_file,density,mix_label,cell_line,model,parameter_name,parameter_value,sse,aic,bic,loss
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,75-25,,competing_coculture,rr,0.51901014,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,75-25,,competing_coculture,rs,0.41361018,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,75-25,,competing_coculture,α,0.92808246,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,75-25,,competing_coculture,β,0.85732115,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,30k,75-25,,option1_alpha_beta,αrs,0.99902113,,,192.10762,14444.057
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,30k,75-25,,option1_alpha_beta,αsr,0.99820721,,,192.10762,14444.057
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,75-25,,option2_alpha_beta_gamma_delta,αrs,0.00019256992,,,164.07491,4522.7157
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,75-25,,option2_alpha_beta_gamma_delta,αsr,0.00082868854,,,164.07491,4522.7157
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,75-25,,option2_alpha_beta_gamma_delta,γ,0.84556839,,,164.07491,4522.7157
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,75-25,,option2_alpha_beta_gamma_delta,δ,0.70671836,,,164.07491,4522.7157
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model1_parpi,alpha,0.5479,21580.353,283.77942,289.19941,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model1_parpi,beta,0,21580.353,283.77942,289.19941,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model1_parpi,d,0.1528,21580.353,283.77942,289.19941,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model2_parpi,alpha,0.8175,15953.934,270.18592,275.60591,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model2_parpi,beta,0,15953.934,270.18592,275.60591,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model2_parpi,d,0.7996,15953.934,270.18592,275.60591,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model3_parpi,alpha,0.6967,18332.788,278.44028,285.66693,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model3_parpi,beta,0.0004,18332.788,278.44028,285.66693,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model3_parpi,d,0.2853,18332.788,278.44028,285.66693,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model3_parpi,gamma,1.274,18332.788,278.44028,285.66693,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model4_parpi,alpha,0.6062,19597.038,279.4412,284.86119,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model4_parpi,d,0.1808,19597.038,279.4412,284.86119,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,Model4_parpi,phi,1.9451,19597.038,279.4412,284.86119,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,adaptive_ic50,Emax,0.9426,12203.431,262.12645,271.15976,
